name,name_ko,stage,type,personality,image_url,description,cute,cool,strong,dark,bright,kind,leader,mysterious
Magnadramon,홀리드라몬,성장기,마인형,용감함|신비로움|친근함,images/magnadramon.png,강렬하면서도 친근한 매력을 지닌 디지몬입니다.,30,80,70,40,50,60,75,65
ExVeemon,엑스브이몬,성장기,마인형,밝음|용감함|친근함,images/exveemon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,40,80,70,20,60,50,70,30
Paildramon,파일드라몬,궁극체,식물형,용감함|강함|친근함,images/paildramon.png,강력하면서도 친근한 매력을 지닌 디지몬입니다.,30,80,90,40,60,50,70,50
Flamedramon,화염드라몬,성장기,공룡형,밝음|용감함|친근함,images/flamedramon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,40,85,80,20,70,60,75,30
Raidramon,번개드라몬,성숙기,식물형,용감함|강함|신비로움,images/raidramon.png,강력하고 신비로운 분위기를 가진 디지몬입니다.,20,80,90,70,30,40,60,75
Magnamon,매그너몬,궁극체,마인형,용감함|강함|친근함,images/magnamon.png,강력하고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,20,90,95,30,70,60,85,40
Wormmon,추추몬,성장기,용형,밝음|용감함|친근함,images/wormmon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,90,30,20,10,80,85,20,15
Stingmon,스팅몬,성숙기,식물형,용감함|강함|친근함,images/stingmon.png,강력하면서도 친근한 매력을 가진 디지몬입니다.,20,80,90,30,40,60,70,50
Dinobeemon,디노비몬,완전체,곤충형,용감함|강함|신비로움,images/dinobeemon.png,강력하고 신비로운 분위기를 가진 디지몬입니다.,20,80,90,40,30,25,70,60
Growlmon,그라우몬,완전체,짐승형,용감함|강함|친근함,images/growlmon.png,강렬한 외형과 용감한 분위기를 가진 친근한 디지몬입니다.,20,85,90,30,40,60,70,50
WarGrowlmon,메가로그라우몬,완전체,공룡형,강함|용감함|친근함,images/wargrowlmon.png,강력하고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,20,85,90,30,40,50,70,60
Gallantmon,듀크몬,궁극체,디지몬,용감함|강함|리더십,images/gallantmon.png,"강력하고 용감한 분위기를 가진 디지몬으로, 리더십이 느껴집니다.",10,90,95,20,30,40,85,60
Kyubimon,구미호몬,완전체,천사형,밝음|용감함|친근함,images/kyubimon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,70,80,75,30,85,80,70,60
Taomon,도사몬,궁극체,천사형,신비로움|강함|친근함,images/taomon.png,신비롭고 강력한 분위기를 지닌 친근한 디지몬입니다.,30,80,90,40,50,60,70,85
Sakuyamon,샤크라몬,성장기,마인형,용감함|신비로움|친근함,images/sakuyamon.png,강력하면서도 신비로운 분위기를 가진 디지몬입니다.,30,80,70,20,50,60,75,85
Gargomon,가르고몬,완전체,천사형,밝음|용감함|친근함,images/gargomon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,70,60,80,20,70,75,65,30
Rapidmon,래피드몬,성장기,디지몬,밝음|용감함|친근함,images/rapidmon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,60,80,75,20,70,65,70,30
MegaGargomon,세인트가르고몬,궁극체,마인형,밝음|용감함|친근함,images/megagargomon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,70,80,90,20,75,85,70,30
Beelzemon,베르제브몬,궁극체,용형,강함|어둠|신비로움,images/beelzemon.png,어둡고 강력한 분위기를 지닌 신비로운 디지몬입니다.,10,90,85,80,20,15,70,75
MarineAngemon,마린엔젤몬,궁극체,천사형,밝음|용감함|친근함,images/marineangemon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,90,40,30,10,80,85,20,15
Guardromon,가드로몬,궁극체,곤충형,용감함|친근함|신뢰감,images/guardromon.png,강력한 외형을 가진 친근한 디지몬입니다.,20,80,90,10,40,60,70,30
Andromon,안드로몬,성숙기,사이보그형,강함|신비로움|용감함,images/andromon.png,강하고 신비로운 분위기를 가진 사이보그형 디지몬입니다.,10,85,90,70,20,30,75,80
HiAndromon,하이안드로몬,완전체,공룡형,강함|신비로움|리더십,images/hiandromon.png,강력하고 신비로운 분위기를 가진 디지몬입니다.,10,90,85,70,30,20,80,75
Leomon,레오몬,성장기,용형,용감함|친근함|강함,images/leomon.png,강력하고 친근한 분위기를 가진 디지몬입니다.,20,80,90,30,40,70,75,20
SaberLeomon,샤벨레오몬,성숙기,식물형,용감함|친근함|강함,images/saberleomon.png,강력하고 용감한 모습이 인상적인 디지몬입니다.,30,80,90,20,40,60,70,30
Ogremon,우가몬,성장기,식물형,용감함|강함|친근함,images/ogremon.png,강력하면서도 친근한 매력을 가진 디지몬입니다.,20,70,85,60,30,40,50,30
Numemon,워매몬,완전체,곤충형,유머러스|친근함|엉뚱함,images/numemon.png,엉뚱하고 유머러스한 매력을 가진 친근한 디지몬입니다.,40,20,30,10,70,60,10,20
Sukamon,스카몬,성장기,용형,유머러스|친근함|장난기,images/sukamon.png,장난기 가득한 모습으로 친근한 매력을 지닌 디지몬입니다.,60,30,40,20,70,80,20,10
Etemon,에테몬,완전체,사이보그형,유머러스|자신감|친근함,images/etemon.png,유머러스하고 자신감 넘치는 분위기가 느껴지는 친근한 디지몬입니다.,30,70,80,20,60,50,60,40
MetalEtemon,메탈에테몬,성숙기,디지몬,강함|자신감|유머러스함,images/metaletemon.png,강력하고 자신감 넘치는 분위기를 가진 유머러스한 디지몬입니다.,10,85,90,30,40,20,70,25
Monzaemon,몬자에몬,성장기,사이보그형,밝음|용감함|친근함,images/monzaemon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,80,30,40,10,90,85,20,15
ToyAgumon,토이아구몬,완전체,사이보그형,밝음|용감함|친근함,images/toyagumon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,80,60,50,20,90,85,70,30
BlackAgumon,블랙아구몬,궁극체,공룡형,강함|신비로움|용감함,images/blackagumon.png,어두운 색조와 강한 인상이 돋보이는 신비로운 디지몬입니다.,30,80,90,70,20,40,60,80
BlackWarGreymon,블랙워그레이몬,성장기,디지몬,강함|신비로움|용감함,images/blackwargreymon.png,어두운 색조와 강력한 외형이 인상적인 디지몬입니다.,10,90,95,80,20,30,70,85
SkullGreymon,스컬그레이몬,성장기,공룡형,어둠|강함|신비로움,images/skullgreymon.png,어두운 분위기와 강력한 힘을 지닌 신비로운 디지몬입니다.,10,80,90,90,20,10,60,80
Machinedramon,파워드라몬,궁극체,곤충형,강함|신비로움|위엄,images/machinedramon.png,강력하고 신비로운 분위기가 느껴지는 디지몬입니다.,10,90,95,70,20,15,85,80
Myotismon,묘티스몬,성장기,짐승형,어두움|신비로움|강함,images/myotismon.png,어두운 분위기와 신비로운 매력을 지닌 강력한 디지몬입니다.,10,80,90,90,20,10,70,85
VenomMyotismon,베놈묘티스몬,궁극체,마인형,어둠|강함|신비로움,images/venommyotismon.png,어두운 분위기와 강력한 힘을 지닌 신비로운 디지몬입니다.,10,90,95,85,15,20,70,80
Piedmon,피에몬,성숙기,식물형,신비로움|강함|어둠,images/piedmon.png,어두운 분위기와 신비로운 매력을 지닌 강력한 디지몬입니다.,20,80,90,85,10,15,70,90
Puppetmon,피노키몬,완전체,식물형,신비로움|위험함|친근함,images/puppetmon.png,어두운 매력을 지닌 신비로운 디지몬입니다.,20,70,60,80,30,40,50,90
MetalSeadramon,메탈시드라몬,궁극체,천사형,강함|신비로움|용감함,images/metalseadramon.png,강력하고 신비로운 분위기를 지닌 디지몬입니다.,10,90,95,60,30,20,70,80
Apocalymon,아포카리몬,성장기,곤충형,어둠|강함|신비로움,images/apocalymon.png,어두운 분위기와 강력한 힘을 지닌 신비로운 디지몬입니다.,10,90,95,85,15,20,70,90
Diaboromon,디아블로몬,성장기,공룡형,어둠|강함|신비로움,images/diaboromon.png,어두운 분위기와 강력한 힘을 가진 신비로운 디지몬입니다.,10,80,90,85,20,15,70,75
Keramon,케라몬,궁극체,식물형,신비로움|어둠|강함,images/keramon.png,어두운 분위기와 신비로운 매력을 지닌 디지몬입니다.,20,70,80,90,10,30,40,85
Infermon,인펠몬,성장기,짐승형,어두움|신비로움|강함,images/infermon.png,어두운 분위기와 신비로운 매력을 지닌 강력한 디지몬입니다.,10,80,70,90,20,15,50,85
Armageddemon,아마게몬,궁극체,식물형,어두움|강함|신비로움,images/armageddemon.png,어두운 분위기와 강력한 힘을 지닌 신비로운 디지몬입니다.,10,80,90,90,20,10,70,85
Alphamon,알파몬,궁극체,사이보그형,강함|신비로움|리더십,images/alphamon.png,강력하고 신비로운 분위기를 가진 디지몬입니다.,10,90,95,70,30,40,85,80
UlforceVeedramon,알포스브이드라몬,성숙기,마인형,용감함|카리스마|친근함,images/ulforceveedramon.png,강력하고 카리스마 넘치는 모습이 인상적인 디지몬입니다.,20,90,85,30,40,60,80,50
Dynasmon,듀나스몬,성장기,사이보그형,강함|신비로움|리더십,images/dynasmon.png,강력하고 신비로운 분위기를 가진 디지몬입니다.,10,90,85,70,30,20,80,75
Craniamon,크레니엄몬,완전체,사이보그형,강함|용감함|신비로움,images/craniamon.png,강력하고 신비로운 분위기를 가진 디지몬입니다.,10,90,95,70,30,20,85,80
Jesmon,제스몬,완전체,공룡형,용감함|강함|리더십,images/jesmon.png,강력하고 카리스마 넘치는 분위기가 느껴지는 디지몬입니다.,20,90,95,40,30,50,85,60
Gankoomon,간쿠몬,성장기,사이보그형,용감함|강함|리더십,images/gankoomon.png,강력하고 카리스마 있는 분위기를 지닌 디지몬입니다.,10,90,85,40,30,20,80,60
Examon,엑자몬,궁극체,식물형,강함|신비로움|위엄,images/examon.png,강력하고 신비로운 분위기를 가진 디지몬입니다.,10,90,95,80,20,30,85,75
Lucemon,루체몬,궁극체,마인형,신비로움|강함|리더십,images/lucemon.png,강력하면서도 신비로운 분위기를 가진 디지몬입니다.,20,90,85,70,40,50,80,90
Lilithmon,리리스몬,완전체,공룡형,어두움|신비로움|강함,images/lilithmon.png,어두운 매력을 지닌 신비로운 디지몬입니다.,10,80,90,90,20,30,70,85
Barbamon,발바몬,성장기,천사형,어둠|신비로움|강함,images/barbamon.png,어두운 분위기와 신비로운 매력을 지닌 강력한 디지몬입니다.,10,80,90,85,20,15,70,90
Daemon,데몬,성장기,곤충형,어둠|강함|신비로움,images/daemon.png,어두운 분위기와 강력한 힘을 지닌 신비로운 디지몬입니다.,10,80,90,90,20,10,70,85
Leviamon,리바이어몬,성숙기,용형,강함|신비로움|위엄,images/leviamon.png,강력하고 신비로운 분위기를 가진 디지몬입니다.,10,85,90,70,30,20,75,80
Crusadermon,로드나이트몬,궁극체,마인형,용감함|강함|리더십,images/crusadermon.png,강력하고 용감한 분위기가 느껴지는 리더 같은 디지몬입니다.,20,85,90,30,40,50,80,60
Dorumon,돌몬,성장기,마인형,밝음|용감함|친근함,images/dorumon.png,밝고 용감한 분위기가 느껴지는 친근한 디지몬입니다.,80,70,60,20,75,85,65,50
Dorugamon,돌가몬,완전체,식물형,강함|신비로움|용감함,images/dorugamon.png,강력하고 신비로운 분위기를 지닌 디지몬입니다.,20,80,90,70,30,40,60,80
DoruGreymon,돌그레이몬,성숙기,마인형,용감함|강함|친근함,images/dorugreymon.png,강력하고 용감한 분위기를 가진 친근한 디지몬입니다.,20,85,90,40,30,60,75,50
Dorugoramon,돌고라몬,궁극체,짐승형,강함|신비로움|용감함,images/dorugoramon.png,강력하고 신비로운 분위기가 느껴지는 디지몬입니다.,10,90,95,70,30,20,85,80
